Course Name,Course Code,Modality,Standard Course Hours,Developer,Target Start Date,Actual Start Date,Target Finish Date,Actual Finish Date,Phase,Risk Status,Course Status Notes,Product,Value Stream
Template for ILT/VILT Courses,868c6ufk0,WBT,0.5,ISG,1/16/25,1/31/25,3/28/25,2/21/25,Complete,On Track,Development Complete,SAP S/4 HANA,ALL
ALL AREAS SAP S/4HANA: Essentials & Navigation,868awzyaw,WBT,0.5,ISG,7/28/25,11/1/24,8/22/25,,Alpha Development,On Track,,SAP S/4 HANA,ALL
DAP Support Navigation Course,868c6m9h9,WBT,0.5,ISG,7/28/25,,8/22/25,,Not Started,On Track,,SAP S/4 HANA,ALL
Asset Accounting: Asset Reinstatement,868c0428w,WBT,0.5,ISG,1/15/25,2/26/25,3/28/25,4/8/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Asset Sales,868c03rxt,WBT,0.5,ISG,1/15/25,2/26/25,3/28/25,4/8/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Capitalizing Assets,868c033tx,WBT,0.5,ISG,1/15/25,2/19/25,3/28/25,4/3/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Change or Renew Contract,868c03yda,WBT,0.5,ISG,5/5/25,2/14/25,5/30/25,,Design,Behind Schedule,Curriculum redesign,SAP S/4 HANA,A2R
Asset Accounting: Commissioning Assets,868cktqar,WBT,0.5,ISG,1/15/25,2/13/25,3/28/25,3/20/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Depreciation Adjustments,868c03882,WBT,0.5,ISG,1/15/25,2/22/25,3/28/25,4/8/25,Final Approval,Behind Schedule,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
Asset Accounting: Depreciation/Amortization Job Run & Review,868c043t3,WBT,0.5,ISG,1/15/25,2/19/25,3/28/25,3/26/25,Final Approval,On Track,Complete pending update of Change Impacts,SAP S/4 HANA,A2R
